Exposure to risk (period 5x10), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      2010-2019     80-84          2546461.09      2013640.42      4560101.52
AUS      2010-2019     85-89          1760458.87      1137657.81      2898116.68
AUS      2010-2019     90-94           839183.54       403386.10      1242569.63
AUS      2010-2019     95-99           218473.80        72097.32       290571.11
AUS      2010-2019    100-104           26738.25         5733.80        32472.05
AUS      2010-2019    105-109            1216.14          170.74         1386.88
AUS      2010-2019    110+                  9.83            0.00            9.83
AUS      2020-2021        0            292046.98       308304.94       600351.92
AUS      2020-2021      1-4           1190608.40      1261304.59      2451912.99
AUS      2020-2021      5-9           1570762.32      1662069.83      3232832.15
AUS      2020-2021     10-14          1565808.61      1658883.42      3224692.03
AUS      2020-2021     15-19          1443603.78      1534554.43      2978158.21
AUS      2020-2021     20-24          1618885.65      1720639.83      3339525.48
AUS      2020-2021     25-29          1841139.00      1868310.50      3709449.50
AUS      2020-2021     30-34          1920810.17      1885534.50      3806344.67
AUS      2020-2021     35-39          1861590.84      1838711.23      3700302.07
AUS      2020-2021     40-44          1660755.75      1621310.18      3282065.92
AUS      2020-2021     45-49          1682774.11      1646506.18      3329280.29
AUS      2020-2021     50-54          1617479.33      1568368.23      3185847.56
AUS      2020-2021     55-59          1582678.37      1526537.32      3109215.69
AUS      2020-2021     60-64          1492848.63      1407817.14      2900665.77
AUS      2020-2021     65-69          1314178.79      1226940.12      2541118.90
AUS      2020-2021     70-74          1156140.10      1089187.19      2245327.29
AUS      2020-2021     75-79           822952.26       759584.60      1582536.86
AUS      2020-2021     80-84           582157.48       489646.95      1071804.43
AUS      2020-2021     85-89           372660.68       267903.29       640563.97
AUS      2020-2021     90-94           201155.98       114918.32       316074.30
AUS      2020-2021     95-99            60785.83        23797.99        84583.82
AUS      2020-2021    100-104            7494.89         1902.16         9397.04
AUS      2020-2021    105-109             367.44           56.13          423.57
AUS      2020-2021    110+                  3.75            0.00            3.75
AUT      1947-1949        0            163171.07       172074.04       335245.11
AUT      1947-1949      1-4            593852.43       616651.36      1210503.80
AUT      1947-1949      5-9            880352.80       911543.71      1791896.51
AUT      1947-1949     10-14           661772.73       689448.39      1351221.12
AUT      1947-1949     15-19           713253.88       757735.25      1470989.13
AUT      1947-1949     20-24           828924.63       725577.94      1554502.56
AUT      1947-1949     25-29           825033.79       631677.94      1456711.73
AUT      1947-1949     30-34           648230.68       513276.14      1161506.82
AUT      1947-1949     35-39           887644.71       725549.82      1613194.53
AUT      1947-1949     40-44           884541.73       765983.26      1650524.99
AUT      1947-1949     45-49           848920.05       753671.45      1602591.50
AUT      1947-1949     50-54           765300.02       615089.68      1380389.71
AUT      1947-1949     55-59           659428.98       507465.07      1166894.05
AUT      1947-1949     60-64           588602.34       446844.32      1035446.66
AUT      1947-1949     65-69           482560.25       364614.06       847174.31
AUT      1947-1949     70-74           362160.11       268383.39       630543.49
AUT      1947-1949     75-79           210395.71       154799.07       365194.78
AUT      1947-1949     80-84            97751.22        67532.80       165284.02
AUT      1947-1949     85-89            30899.64        19389.30        50288.95
AUT      1947-1949     90-94             5686.49         2881.37         8567.86
AUT      1947-1949     95-99              607.09          269.24          876.33
AUT      1947-1949    100-104               9.54           18.61           28.15
AUT      1947-1949    105-109               0.00            0.00            0.00
AUT      1947-1949    110+                  0.00            0.00            0.00
AUT      1950-1959        0            518182.17       542292.21      1060474.39
AUT      1950-1959      1-4           1989700.82      2074646.25      4064347.08
AUT      1950-1959      5-9           2486145.13      2588568.86      5074713.99
AUT      1950-1959     10-14          2650355.27      2752513.40      5402868.68
AUT      1950-1959     15-19          2433233.21      2536214.57      4969447.79
AUT      1950-1959     20-24          2203743.27      2255466.77      4459210.04
AUT      1950-1959     25-29          2530804.59      2272715.86      4803520.45
AUT      1950-1959     30-34          2577859.97      1990631.39      4568491.36
AUT      1950-1959     35-39          2346187.98      1763801.06      4109989.04
AUT      1950-1959     40-44          2592562.24      2053103.73      4645665.97
AUT      1950-1959     45-49          2859143.19      2390017.61      5249160.79
AUT      1950-1959     50-54          2744712.63      2351940.95      5096653.58
AUT      1950-1959     55-59          2492382.55      1996964.96      4489347.51
AUT      1950-1959     60-64          2139510.11      1567170.14      3706680.25
AUT      1950-1959     65-69          1781073.97      1252479.99      3033553.97
AUT      1950-1959     70-74          1375957.68       942114.02      2318071.70
AUT      1950-1959     75-79           898982.61       597267.06      1496249.67
AUT      1950-1959     80-84           436888.82       279535.28       716424.10
AUT      1950-1959     85-89           142739.09        85777.59       228516.68
AUT      1950-1959     90-94            28620.78        15006.56        43627.34
AUT      1950-1959     95-99             3006.59         1289.69         4296.28
AUT      1950-1959    100-104             143.92           58.82          202.74
AUT      1950-1959    105-109               2.93            0.95            3.88
AUT      1950-1959    110+                  0.00            0.00            0.00
AUT      1960-1969        0            618914.60       647608.61      1266523.21
AUT      1960-1969      1-4           2413692.09      2521546.03      4935238.12
AUT      1960-1969      5-9           2726276.57      2848061.24      5574337.81
AUT      1960-1969     10-14          2488226.69      2589180.31      5077406.99
AUT      1960-1969     15-19          2485370.17      2583355.99      5068726.16
AUT      1960-1969     20-24          2578186.32      2689865.91      5268052.23
