Death rates (period 5x5), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1965-1969     45-49            0.003742        0.006217        0.004996
AUS      1965-1969     50-54            0.005853        0.010457        0.008169
AUS      1965-1969     55-59            0.008641        0.017118        0.012928
AUS      1965-1969     60-64            0.013498        0.027771        0.020556
AUS      1965-1969     65-69            0.022043        0.043857        0.032042
AUS      1965-1969     70-74            0.037082        0.066618        0.049406
AUS      1965-1969     75-79            0.063170        0.101392        0.078429
AUS      1965-1969     80-84            0.100812        0.141238        0.115759
AUS      1965-1969     85-89            0.165259        0.216256        0.182121
AUS      1965-1969     90-94            0.248662        0.296230        0.262599
AUS      1965-1969     95-99            0.361866        0.438714        0.381990
AUS      1965-1969    100-104           0.555353        0.636762        0.573184
AUS      1965-1969    105-109           0.741419        1.205788        0.859658
AUS      1965-1969    110+              4.090909              .        4.090909
AUS      1970-1974        0             0.014719        0.019449        0.017138
AUS      1970-1974      1-4             0.000747        0.000975        0.000864
AUS      1970-1974      5-9             0.000320        0.000441        0.000382
AUS      1970-1974     10-14            0.000262        0.000404        0.000335
AUS      1970-1974     15-19            0.000574        0.001538        0.001065
AUS      1970-1974     20-24            0.000557        0.001779        0.001180
AUS      1970-1974     25-29            0.000614        0.001338        0.000987
AUS      1970-1974     30-34            0.000847        0.001466        0.001167
AUS      1970-1974     35-39            0.001346        0.002181        0.001776
AUS      1970-1974     40-44            0.002153        0.003417        0.002808
AUS      1970-1974     45-49            0.003575        0.006054        0.004845
AUS      1970-1974     50-54            0.005392        0.009829        0.007621
AUS      1970-1974     55-59            0.008277        0.016306        0.012255
AUS      1970-1974     60-64            0.012618        0.026317        0.019256
AUS      1970-1974     65-69            0.020135        0.040872        0.029909
AUS      1970-1974     70-74            0.034596        0.063187        0.046885
AUS      1970-1974     75-79            0.059794        0.099159        0.074770
AUS      1970-1974     80-84            0.096832        0.141448        0.112454
AUS      1970-1974     85-89            0.159603        0.211815        0.176193
AUS      1970-1974     90-94            0.238206        0.299488        0.254783
AUS      1970-1974     95-99            0.364212        0.408531        0.374909
AUS      1970-1974    100-104           0.548747        0.431546        0.521795
AUS      1970-1974    105-109           0.716953        0.780798        0.730057
AUS      1970-1974    110+                    .              .              .
AUS      1975-1979        0             0.011164        0.014290        0.012766
AUS      1975-1979      1-4             0.000571        0.000732        0.000653
AUS      1975-1979      5-9             0.000252        0.000342        0.000298
AUS      1975-1979     10-14            0.000220        0.000379        0.000302
AUS      1975-1979     15-19            0.000505        0.001434        0.000979
AUS      1975-1979     20-24            0.000539        0.001745        0.001149
AUS      1975-1979     25-29            0.000517        0.001340        0.000934
AUS      1975-1979     30-34            0.000710        0.001363        0.001044
AUS      1975-1979     35-39            0.001117        0.001908        0.001523
AUS      1975-1979     40-44            0.001824        0.003086        0.002472
AUS      1975-1979     45-49            0.002975        0.005368        0.004209
AUS      1975-1979     50-54            0.004672        0.008833        0.006788
