Death rates (cohort 5x5), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1910-1914     85-89            0.107503        0.153323        0.122171
AUS      1910-1914     90-94            0.181411        0.233832        0.195497
AUS      1910-1914     95-99            0.298390        0.357710        0.311360
AUS      1910-1914    100-104           0.466420        0.512997        0.474480
AUS      1910-1914    105-109           0.631103        0.749068        0.646100
AUS      1910-1914    110+                     .               .               .
AUS      1915-1919        0                    .               .               .
AUS      1915-1919      1-4                    .               .               .
AUS      1915-1919      5-9             0.001406        0.001765        0.001588
AUS      1915-1919     10-14            0.000933        0.001315        0.001127
AUS      1915-1919     15-19            0.001335        0.001816        0.001579
AUS      1915-1919     20-24            0.001725        0.002178        0.001954
AUS      1915-1919     25-29            0.001739        0.001506        0.001623
AUS      1915-1919     30-34            0.001493        0.001906        0.001700
AUS      1915-1919     35-39            0.001706        0.002390        0.002052
AUS      1915-1919     40-44            0.002390        0.003648        0.003026
AUS      1915-1919     45-49            0.003778        0.006234        0.005015
AUS      1915-1919     50-54            0.005621        0.010140        0.007880
AUS      1915-1919     55-59            0.007628        0.015228        0.011367
AUS      1915-1919     60-64            0.010330        0.021096        0.015475
AUS      1915-1919     65-69            0.014988        0.029773        0.021859
AUS      1915-1919     70-74            0.022782        0.041825        0.031266
AUS      1915-1919     75-79            0.035365        0.060859        0.046052
AUS      1915-1919     80-84            0.057705        0.090977        0.070300
AUS      1915-1919     85-89            0.098928        0.139866        0.112688
AUS      1915-1919     90-94            0.175624        0.223128        0.189361
AUS      1915-1919     95-99            0.293311        0.351160        0.307076
AUS      1915-1919    100-104           0.441184        0.503910        0.452963
AUS      1915-1919    105-109                  .               .               .
AUS      1915-1919    110+                     .               .               .
AUS      1920-1924        0             0.056526        0.072138        0.064485
AUS      1920-1924      1-4             0.004604        0.005405        0.005011
AUS      1920-1924      5-9             0.001303        0.001630        0.001469
AUS      1920-1924     10-14            0.000875        0.001278        0.001079
AUS      1920-1924     15-19            0.001107        0.001701        0.001407
AUS      1920-1924     20-24            0.001330        0.001342        0.001336
AUS      1920-1924     25-29            0.001161        0.001682        0.001426
AUS      1920-1924     30-34            0.001132        0.001835        0.001494
AUS      1920-1924     35-39            0.001526        0.002339        0.001943
AUS      1920-1924     40-44            0.002309        0.003821        0.003081
AUS      1920-1924     45-49            0.003657        0.006189        0.004947
AUS      1920-1924     50-54            0.005077        0.009378        0.007251
AUS      1920-1924     55-59            0.006569        0.013348        0.009940
AUS      1920-1924     60-64            0.009259        0.018586        0.013783
AUS      1920-1924     65-69            0.013354        0.026101        0.019386
AUS      1920-1924     70-74            0.020146        0.037783        0.028162
AUS      1920-1924     75-79            0.030701        0.052708        0.040207
AUS      1920-1924     80-84            0.051775        0.079713        0.062883
AUS      1920-1924     85-89            0.092823        0.128672        0.105721
